CustomerID,Recency,Frequency,Monetary,Average_order_value,Products_purchased,Cancellation_frequency,Total_unique_products,Favorite_day_of_week,Favorite_hour_of_day,Cluster
12346.0,325,2,0.0,0.0,0,1.0,1,1,10,0
12347.0,2,7,4310.0,615.7142857142857,2458,0.0,103,1,14,0
12348.0,75,4,1437.24,359.31,2332,0.0,21,3,19,0
12349.0,18,1,1457.55,1457.55,630,0.0,72,0,9,0
12350.0,310,1,294.4,294.4,196,0.0,16,2,16,0
12352.0,36,8,1265.41,158.17625,463,1.0,57,1,14,0
12353.0,204,1,89.0,89.0,20,0.0,4,3,17,0
12354.0,232,1,1079.4,1079.4,530,0.0,58,3,13,0
12355.0,214,1,459.4,459.4,240,0.0,13,0,13,0
12356.0,22,3,2487.43,829.1433333333333,1573,0.0,52,1,9,0
12357.0,33,1,6207.67,6207.67,2708,0.0,131,6,16,0
12358.0,1,2,928.0600000000001,464.03000000000003,242,0.0,12,1,10,0
12359.0,7,6,6182.9800000000005,1030.4966666666667,1599,2.0,214,3,12,0
12360.0,52,3,2302.06,767.3533333333334,1156,0.0,104,1,15,0
12361.0,287,1,174.9,174.9,90,0.0,9,4,13,0
12362.0,3,13,4665.58,358.89076923076925,2180,3.0,200,3,15,0
12363.0,109,2,552.0,276.0,408,0.0,23,0,13,0
12364.0,7,4,1208.1,302.025,1499,0.0,69,4,15,0
12365.0,291,1,320.69,320.69,173,0.0,21,0,13,0
12367.0,4,1,150.9,150.9,172,0.0,10,0,16,0
12370.0,51,4,3421.94,855.485,2349,0.0,142,1,12,0
12371.0,59,1,1527.96,1527.96,582,0.0,62,1,10,0
12372.0,71,3,1196.04,398.68,788,0.0,33,2,12,0
12373.0,311,1,324.6,324.6,196,0.0,13,1,13,0
12374.0,25,1,622.93,622.93,339,0.0,32,0,15,0
12375.0,2,3,375.42,125.14,175,1.0,13,4,14,0
12377.0,315,2,1548.12,774.06,942,0.0,71,0,9,0
12378.0,129,1,4008.62,4008.62,2529,0.0,219,1,10,0
12379.0,81,3,775.29,258.43,401,1.0,38,0,10,0
12380.0,21,5,2423.56,484.712,1109,1.0,76,4,11,0
12381.0,4,4,1433.46,358.365,772,1.0,69,4,9,0
12383.0,184,6,1617.31,269.5516666666667,1515,1.0,83,2,14,0
12384.0,28,3,406.16,135.38666666666668,117,1.0,25,2,11,0
12386.0,337,2,401.9,200.95,354,0.0,10,2,9,0
12388.0,15,6,2780.66,463.4433333333333,1462,0.0,57,3,11,0
12390.0,79,1,504.84000000000003,504.84000000000003,350,0.0,31,2,9,0
12391.0,21,1,439.66,439.66,293,0.0,92,4,12,0
12393.0,72,4,1582.6000000000001,395.65000000000003,816,0.0,47,2,9,0
12394.0,63,2,1080.48,540.24,808,0.0,25,4,14,0
12395.0,15,15,2662.28,177.48533333333336,2092,3.0,90,4,16,0
12397.0,35,2,2214.9,1107.45,1250,0.0,109,2,14,0
12398.0,45,1,1435.66,1435.66,1389,0.0,84,1,10,0
12399.0,119,4,1033.65,258.4125,1173,0.0,46,1,10,0
12401.0,303,1,69.3,69.3,10,0.0,4,2,13,0
12402.0,323,1,195.6,195.6,92,0.0,10,3,13,0
12403.0,49,1,391.7,391.7,94,0.0,4,4,10,0
12405.0,148,1,1390.39,1390.39,849,0.0,53,3,8,0
12406.0,22,3,3280.75,1093.5833333333333,1809,1.0,92,3,19,0
12407.0,49,5,1507.1200000000001,301.42400000000004,1403,0.0,56,2,9,0
12408.0,32,8,2587.57,323.44625,1382,3.0,80,4,10,0
12409.0,78,7,11056.93,1579.5614285714287,5543,4.0,91,4,12,0
12410.0,301,3,521.08,173.69333333333336,205,1.0,25,4,10,0
12412.0,74,3,1142.88,380.96000000000004,824,0.0,42,0,13,0
12413.0,66,4,676.15,169.0375,281,1.0,28,3,16,0
12414.0,217,3,442.41,147.47,297,0.0,15,2,14,0
12415.0,24,24,123638.18,5151.590833333333,76946,4.0,443,1,10,0
12417.0,3,12,3155.8,262.98333333333335,1514,3.0,157,3,14,0
12418.0,112,1,668.58,668.58,407,0.0,34,4,11,0
12420.0,63,1,600.39,600.39,345,0.0,29,4,8,0
12421.0,15,4,639.04,159.76,478,0.0,31,6,13,0
12422.0,95,3,683.5600000000001,227.85333333333335,367,0.0,38,4,9,0
12423.0,0,9,1624.11,180.45666666666665,1312,1.0,96,0,10,0
12424.0,162,2,1760.96,880.48,740,0.0,30,3,12,0
12425.0,78,1,777.2,777.2,496,0.0,36,3,17,0
12426.0,194,1,510.73,510.73,254,0.0,29,6,12,0
12427.0,11,5,582.37,116.474,229,2.0,25,0,15,0
12428.0,25,11,6366.0,578.7272727272727,3477,3.0,256,1,9,0
12429.0,9,4,3388.4,847.1,1538,0.0,81,0,12,0
12430.0,43,1,216.4,216.4,116,0.0,10,3,15,0
12431.0,35,18,6243.89,346.8827777777778,2839,3.0,162,3,14,0
12432.0,42,4,4359.32,1089.83,1800,0.0,106,0,13,0
12433.0,0,7,13375.87,1910.8385714285716,11071,0.0,219,2,13,0
12434.0,84,4,765.19,191.2975,373,2.0,49,4,12,0
12435.0,79,2,7829.89,3914.945,2055,0.0,31,3,7,0
12436.0,99,1,429.01000000000005,429.01000000000005,209,0.0,15,3,12,0
12437.0,1,19,4392.66,231.19263157894736,2889,1.0,117,2,9,0
12438.0,14,2,2466.85,1233.425,1169,0.0,83,4,13,0
12441.0,366,1,155.55,155.55,120,0.0,10,2,10,0
12442.0,3,1,144.06,144.06,181,0.0,11,1,14,0
12444.0,21,5,4085.46,817.092,1130,0.0,137,1,14,0
12445.0,22,1,77.4,77.4,60,0.0,3,3,18,0
12446.0,57,1,1002.3100000000001,1002.3100000000001,351,0.0,57,3,12,0
12447.0,243,1,431.49,431.49,187,0.0,25,6,13,0
12448.0,44,1,365.45,365.45,240,0.0,21,2,13,0
12449.0,22,4,3596.29,899.0725,1523,0.0,117,3,9,0
12450.0,156,2,197.88,98.94,128,0.0,7,6,14,0
12451.0,10,6,8893.52,1482.2533333333333,6454,1.0,264,2,9,0
12452.0,16,1,348.57,348.57,181,0.0,20,2,8,0
12453.0,134,1,707.09,707.09,473,0.0,43,3,14,0
12454.0,53,2,5.684341886080802e-14,2.842170943040401e-14,0,1.0,15,0,15,0
12455.0,73,5,2339.86,467.97200000000004,2084,0.0,84,2,9,0
12456.0,44,4,2553.89,638.4725,1601,1.0,104,2,15,0
12457.0,58,11,1597.78,145.25272727272727,686,5.0,52,2,15,0
12458.0,71,2,787.4,393.7,502,0.0,34,0,10,0
12461.0,154,1,626.88,626.88,282,0.0,34,4,10,0
12462.0,2,4,872.01,218.0025,505,2.0,50,2,14,0
12463.0,46,6,1165.63,194.27166666666668,751,2.0,65,1,13,0
12464.0,10,8,957.05,119.63125,95,0.0,5,3,13,0
12465.0,7,3,673.89,224.63,471,1.0,45,3,13,0
12468.0,143,3,652.04,217.34666666666666,360,1.0,35,6,11,0
12471.0,2,45,16323.52,362.7448888888889,7846,18.0,150,3,9,0
12472.0,30,13,5725.48,440.42153846153843,3992,6.0,225,2,14,0
12473.0,53,4,2545.27,636.3175,2323,1.0,138,0,11,0
12474.0,17,30,6434.7699999999995,214.4923333333333,4715,12.0,252,1,10,0
12475.0,53,1,669.38,669.38,532,0.0,35,0,10,0
12476.0,1,20,5628.58,281.429,2286,9.0,176,3,10,0
12477.0,22,9,13117.01,1457.4455555555555,3620,3.0,192,4,9,0
12478.0,3,1,545.99,545.99,233,0.0,35,1,9,0
12479.0,3,3,423.3,141.1,348,2.0,30,0,13,0
12480.0,28,4,2885.63,721.4075,1685,0.0,128,4,14,0
12481.0,22,11,4998.36,454.3963636363636,3248,1.0,149,0,10,0
12483.0,17,11,1873.13,170.28454545454545,1084,3.0,45,1,11,0
12484.0,35,6,3892.87,648.8116666666666,2160,2.0,255,4,13,0
12488.0,9,3,1244.66,414.8866666666667,526,0.0,45,2,10,0
12489.0,336,1,298.93,298.93,103,0.0,14,4,13,0
12490.0,5,10,4859.93,485.99300000000005,3033,0.0,130,2,13,0
12491.0,38,1,424.40000000000003,424.40000000000003,258,0.0,24,1,12,0
12492.0,63,2,227.21,113.605,190,0.0,18,4,15,0
12493.0,165,3,362.79,120.93,203,1.0,18,3,14,0
12494.0,9,13,995.35,76.56538461538462,682,6.0,62,3,13,0
12497.0,81,1,953.1,953.1,1231,0.0,13,0,12,0
12498.0,21,3,349.70000000000005,116.56666666666668,156,0.0,20,3,9,0
12500.0,23,13,4026.27,309.7130769230769,2661,2.0,33,4,10,0
12501.0,315,2,1945.68,972.84,1714,1.0,148,4,12,0
12502.0,95,5,2995.87,599.174,794,0.0,101,3,11,0
12504.0,18,4,59.99999999999999,14.999999999999998,48,2.0,5,0,16,0
12506.0,232,1,73.5,73.5,23,0.0,23,3,8,0
12507.0,134,4,1006.06,251.515,874,1.0,18,0,9,0
12508.0,26,2,397.88,198.94,271,0.0,57,3,16,0
12509.0,284,1,158.5,158.5,54,0.0,6,0,14,0
12510.0,142,2,814.5699999999999,407.28499999999997,347,0.0,28,1,14,0
12512.0,66,2,132.18,66.09,96,0.0,31,1,14,0
12513.0,84,2,532.79,266.395,453,1.0,34,4,10,0
12514.0,267,1,1017.68,1017.68,440,0.0,51,3,16,0
12515.0,353,1,278.7,278.7,128,0.0,15,1,15,0
12516.0,77,2,1186.06,593.03,868,0.0,19,4,9,0
12517.0,28,5,2263.65,452.73,1328,1.0,231,3,15,0
12518.0,0,5,1840.89,368.178,1306,0.0,83,4,10,0
12519.0,63,1,276.84,276.84,172,0.0,16,4,9,0
12520.0,79,6,2294.5099999999998,382.4183333333333,1414,1.0,120,4,11,0
12521.0,142,1,545.68,545.68,306,0.0,37,2,10,0
12522.0,39,2,156.72,78.36,192,0.0,10,0,14,0
12523.0,1,13,1655.57,127.35153846153845,856,2.0,83,2,9,0
12524.0,9,8,3945.72,493.215,3669,0.0,112,3,13,0
12526.0,0,3,1172.66,390.8866666666667,624,0.0,63,0,9,0
12527.0,81,3,330.71000000000004,110.23666666666668,233,0.0,17,1,12,0
12528.0,9,8,1634.28,204.285,734,2.0,49,0,9,0
12530.0,59,5,1461.63,292.326,891,1.0,50,1,10,0
12531.0,14,1,125.22,125.22,45,0.0,17,4,11,0
12532.0,30,1,313.83000000000004,313.83000000000004,151,0.0,15,2,13,0
12534.0,130,1,981.18,981.18,645,0.0,62,0,10,0
12535.0,91,2,716.35,358.175,219,0.0,28,0,12,0
12536.0,7,2,4151.26,2075.63,2672,1.0,259,1,14,0
12538.0,29,1,363.95,363.95,191,0.0,21,3,17,0
12539.0,22,4,5568.35,1392.0875,2067,0.0,157,3,9,0
12540.0,19,19,11489.039999999999,604.6863157894736,6612,2.0,277,1,10,0
12541.0,29,3,841.18,280.3933333333333,675,0.0,45,3,10,0
12544.0,29,2,299.7,149.85,130,1.0,18,3,16,0
12545.0,75,2,832.39,416.195,517,0.0,41,4,12,0
12546.0,46,3,1001.5,333.8333333333333,612,1.0,58,4,9,0
12547.0,197,2,151.79999999999998,75.89999999999999,132,0.0,6,4,12,0
12548.0,166,1,67.19999999999999,67.19999999999999,48,0.0,4,6,15,0
12550.0,79,1,824.83,824.83,564,0.0,56,2,14,0
12551.0,357,1,168.0,168.0,100,0.0,10,4,11,0
12552.0,39,1,317.82,317.82,85,0.0,19,0,12,0
12553.0,8,14,3238.25,231.30357142857142,1901,4.0,94,4,10,0
12556.0,50,2,599.56,299.78,355,0.0,100,0,13,0
12557.0,16,5,11990.960000000001,2398.192,4384,0.0,15,0,13,0
